zone_id,zone_name,scenario,rainfall_1h,rainfall_3h,rainfall_6h,elevation,slope,distance_to_drain,drain_capacity,pump_load_pct,flood_history_count,population_density,critical_infra_flag,lat,lon,data_source,flood_severity
REAL-0209,GT Road,light,9.2,18.7,26.2,42.3,4.6,267.9,83.9,95.9,3,17006.8,1,28.62937,77.23587,real_govt_record,Low
REAL-0650,Maulana Johar Ali Marg,moderate,21.1,47.9,75.8,28.8,2.83,204.6,76.7,55.6,1,11641.0,1,28.62624,77.23676,real_govt_record,Low
SYN2-0074,SYN2-0074,synthetic_v2,32.01,63.2,96.61,50.1,7.13,876.05,59.43,25.2,4,15773.91,1,28.57941,77.28833,synthetic,Medium
REAL-0486,Mangolpuri- Udhyog Nagar,moderate,20.7,53.1,79.4,36.2,3.02,136.9,76.7,50.7,1,19347.4,0,28.63429,77.24145,real_govt_record,Low
REAL-0620,Kartavya Marg,extreme,37.7,96.4,147.6,14.5,4.96,678.2,87.5,45.8,1,4058.9,0,28.62591,77.23817,real_govt_record,Medium
SYN2-0095,SYN2-0095,synthetic_v2,96.71,237.2,312.4,29.55,7.76,530.14,45.34,57.59,1,11169.62,1,28.56793,77.25406,synthetic,High
ZONE-035,ZONE-035,synthetic_v1,72.94,129.07,199.43,18.49,6.15,460.01,99.34,74.82,0,22922.68,1,28.68,77.22867,synthetic,Low
REAL-0655,MP Road,heavy,38.0,87.3,123.7,15.7,2.18,610.9,74.1,78.6,1,17029.8,1,28.62842,77.24006,real_govt_record,Medium
REAL-0202,Okhla Road,moderate,15.1,42.1,58.8,31.6,0.78,157.3,72.4,36.7,4,15308.5,0,28.62535,77.23777,real_govt_record,Low
REAL-0654,MP Road,moderate,17.5,42.9,65.4,43.9,2.63,532.4,74.1,69.0,1,9331.4,0,28.62666,77.24087,real_govt_record,Low
REAL-0694,NH-8 Near Uppal,moderate,15.1,34.5,51.1,31.2,3.96,136.0,94.2,88.5,1,5463.0,1,28.62649,77.23615,real_govt_record,Low
REAL-0496,NH-8 Mahipalpur Flyover,extreme,63.8,128.7,168.4,42.1,1.02,163.9,86.1,63.4,1,7719.4,0,28.63208,77.23627,real_govt_record,High
REAL-0007,Rohtak Road,heavy,29.8,80.6,120.3,12.3,2.39,209.6,72.4,52.3,88,24389.5,1,28.66186,77.1317,real_govt_record,High
REAL-0632,Lodhi Road,extreme,40.7,113.7,175.6,10.6,1.15,357.3,83.0,54.0,1,23465.6,1,28.63139,77.239,real_govt_record,High
REAL-0580,Benito Juarez Marg,extreme,35.7,93.0,133.2,42.8,3.63,694.5,94.2,83.1,1,14515.4,1,28.63285,77.24345,real_govt_record,Medium
REAL-0015,M.B. Road,heavy,34.1,74.1,116.3,35.3,3.67,645.0,83.0,93.6,42,11388.5,1,28.50801,77.25899,real_govt_record,High
SYN2-0102,SYN2-0102,synthetic_v2,66.9,171.66,261.26,9.35,0.52,963.2,47.27,68.87,1,24691.84,1,28.67342,77.15562,synthetic,High
REAL-0618,Kartavya Marg,moderate,14.4,32.6,43.6,15.8,1.86,566.5,87.5,82.5,1,15416.5,0,28.6307,77.23493,real_govt_record,Low
REAL-0081,Lala Lajpat Rai Marg,light,5.7,11.6,16.3,25.1,1.06,780.2,86.5,43.7,7,22985.2,0,28.63014,77.23776,real_govt_record,Low
SYN2-0069,SYN2-0069,synthetic_v2,46.25,84.92,104.7,32.54,2.86,588.38,70.83,73.99,3,4026.29,0,28.62945,77.3233,synthetic,Medium
REAL-0215,Mathura R oad,heavy,33.9,72.4,99.4,38.2,1.58,697.5,94.2,61.2,3,5825.5,0,28.62359,77.23629,real_govt_record,Low
REAL-0263,Purana Quila Road,heavy,27.9,56.8,79.6,13.3,4.01,131.9,90.9,37.4,2,17691.6,1,28.6252,77.2443,real_govt_record,Low
REAL-0431,Outer Circle Connaught,heavy,37.2,80.7,107.1,23.1,2.7,128.9,87.5,92.7,1,11828.0,0,28.63304,77.23934,real_govt_record,Medium
REAL-0821,Ansari Road,light,8.4,22.9,32.2,44.0,3.17,349.7,83.9,74.0,1,13886.7,0,28.62551,77.23506,real_govt_record,Low
ZONE-015,ZONE-015,synthetic_v1,53.38,121.27,214.31,49.12,6.13,76.75,93.79,98.25,0,12722.32,0,28.5705,77.15534,synthetic,Low
REAL-0939,Goyla Dairy Road,heavy,31.5,73.1,110.2,15.5,4.28,560.6,72.4,36.2,1,7333.2,1,28.63316,77.23618,real_govt_record,Medium
REAL-0579,Benito Juarez Marg,heavy,28.1,80.0,107.7,29.5,2.9,677.8,94.2,37.0,1,17135.0,0,28.62993,77.24433,real_govt_record,Low
REAL-0147,Pusta Road,heavy,43.9,88.5,129.9,44.8,2.2,662.4,74.7,79.8,5,21737.7,1,28.62837,77.24125,real_govt_record,Medium
SYN2-0019,SYN2-0019,synthetic_v2,95.79,221.33,297.17,59.01,2.83,926.03,59.32,41.52,1,19440.42,0,28.60264,77.23136,synthetic,Medium
SYN2-0154,SYN2-0154,synthetic_v2,94.58,179.15,284.21,43.93,1.51,702.3,29.71,16.54,5,4254.83,1,28.58575,77.32146,synthetic,High
REAL-0066,Ch. Fateh Singh Marg,moderate,15.7,35.8,53.0,25.5,2.79,381.5,76.7,92.2,10,12452.2,1,28.6985,77.22651,real_govt_record,Low
REAL-1003,"Sector-14 Road, Dwarka",heavy,29.9,77.3,100.7,41.1,2.4,460.3,79.7,52.5,1,24559.6,1,28.62537,77.2395,real_govt_record,Low
REAL-0793,Surajkund Road,light,5.4,14.2,19.1,41.4,0.9,747.4,86.1,48.4,1,14962.4,1,28.63017,77.23836,real_govt_record,Low
REAL-0378,Veer Banda Bairagi,moderate,26.9,54.3,83.1,20.2,2.81,433.6,79.7,82.8,2,11992.6,1,28.6232,77.23917,real_govt_record,Low
ZONE-083,ZONE-083,synthetic_v1,46.02,120.33,201.76,41.74,6.63,318.52,42.17,49.56,2,24313.76,0,28.6241,77.20877,synthetic,Medium
REAL-0387,Jawahar Lal Nehru Marg,heavy,31.2,64.5,100.8,20.8,0.63,501.0,74.7,74.7,2,24155.5,0,28.62621,77.24557,real_govt_record,Low
REAL-0267,Ashok Vihar Road,heavy,24.4,63.1,90.0,39.3,2.69,198.8,74.7,39.9,2,8731.6,0,28.62735,77.23803,real_govt_record,Low
REAL-0059,Anuvrat Marg,heavy,25.2,55.8,82.3,37.5,3.82,326.2,85.9,60.0,11,7250.5,0,28.52968,77.18737,real_govt_record,Low
REAL-0959,Maharishi Dayanand Marg,heavy,29.8,78.0,117.2,23.0,1.38,296.1,90.9,97.3,1,12561.1,0,28.63021,77.23314,real_govt_record,Medium
SYN2-0007,SYN2-0007,synthetic_v2,76.16,158.18,251.47,25.73,1.95,122.08,57.28,27.7,3,23860.43,0,28.57291,77.26127,synthetic,High
REAL-0875,Khudiram Bose Marg,heavy,25.4,60.0,81.0,30.0,3.63,491.1,72.4,53.7,1,7882.9,1,28.62781,77.24338,real_govt_record,Low
REAL-0089,Press Enclave Road,light,11.5,23.8,38.1,35.0,4.42,326.6,80.7,70.0,7,15843.2,0,28.63243,77.24193,real_govt_record,Low
REAL-0054,Okhla Estate Marg,moderate,15.3,36.2,49.3,20.7,3.85,678.9,74.7,39.8,12,6515.6,0,28.53163,77.27331,real_govt_record,Low
REAL-0026,Aurobindo Marg,moderate,14.3,31.1,48.1,31.7,3.73,210.0,80.7,92.6,34,24590.4,1,28.56428,77.19761,real_govt_record,Medium
REAL-0566,Army Battle Honours Mess (ABHM) Marg,moderate,12.9,34.4,53.1,43.1,3.08,549.5,90.9,97.5,1,14938.3,1,28.62686,77.23686,real_govt_record,Low
REAL-1031,Dada Maheshwar Road,heavy,38.7,82.0,114.5,20.4,0.73,424.7,74.1,94.2,1,21332.8,1,28.63154,77.23537,real_govt_record,Medium
REAL-0686,NH-48 Near Shiv,moderate,15.8,35.4,50.3,24.8,1.61,161.7,86.5,41.6,1,17315.0,1,28.63095,77.23785,real_govt_record,Low
REAL-0351,Najafgarh Road-Azad Hind Fauz Marg,heavy,30.1,82.3,110.2,26.8,1.33,471.0,82.5,53.2,2,23811.7,1,28.63085,77.24636,real_govt_record,Medium
REAL-0682,NH-48 Near Loop,moderate,20.2,51.6,82.5,43.8,0.8,662.3,82.5,47.5,1,20075.9,1,28.63458,77.23994,real_govt_record,Low
REAL-0018,GTK Road,moderate,19.5,46.0,68.3,42.1,1.65,58.5,86.5,54.3,38,18240.9,0,28.70768,77.18068,real_govt_record,Medium
REAL-0077,"NH-44, GTK Road",light,5.6,11.8,18.6,13.1,1.42,161.0,74.1,79.2,8,14137.6,1,28.63561,77.2407,real_govt_record,Low
REAL-0638,Major Hoshiyar Singh Marg,moderate,12.1,26.3,35.2,25.4,1.11,562.0,83.9,97.3,1,18793.3,0,28.63142,77.23929,real_govt_record,Low
REAL-0526,Mahipalpur- Mehrauli road Mahipalpur Chowk,moderate,15.7,34.5,48.5,16.5,0.67,640.7,74.7,54.1,1,9682.9,0,28.62946,77.23946,real_govt_record,Low
REAL-0516,Palam Road,extreme,50.7,116.3,157.8,44.5,2.96,148.1,82.5,83.3,1,4592.0,1,28.63512,77.23413,real_govt_record,Medium
SYN2-0094,SYN2-0094,synthetic_v2,86.62,188.08,266.84,43.33,2.46,68.46,99.28,58.93,4,6668.99,0,28.5757,77.19694,synthetic,High
REAL-0373,Shanti Path,light,5.1,10.9,15.8,27.4,2.18,70.8,94.2,87.5,2,12179.3,0,28.63126,77.24193,real_govt_record,Low
REAL-0719,Pragati Maidan Tunnel,heavy,32.3,85.6,120.0,26.3,0.52,262.5,74.1,90.8,1,24482.7,1,28.62617,77.23429,real_govt_record,Medium
ZONE-022,ZONE-022,synthetic_v1,24.16,30.26,65.9,34.27,6.74,220.74,81.13,93.98,1,8875.91,0,28.74878,77.19923,synthetic,Low
SYN2-0149,SYN2-0149,synthetic_v2,90.54,234.47,363.03,59.83,6.86,832.95,29.35,37.48,5,14188.49,1,28.68129,77.27581,synthetic,High
REAL-0108,Mother Teresa Crescent Road,extreme,50.8,114.5,155.1,26.0,2.93,364.4,86.1,38.0,6,9806.4,1,28.6329,77.24487,real_govt_record,High
SYN2-0153,SYN2-0153,synthetic_v2,48.21,110.04,168.22,55.56,7.25,207.46,46.74,14.14,0,4258.71,1,28.65907,77.27258,synthetic,Low
REAL-0295,Pusa Road- Vande Matram Marg,heavy,36.7,87.0,131.5,32.3,1.83,539.8,76.7,43.3,2,23581.4,0,28.63057,77.2419,real_govt_record,Medium
ZONE-097,ZONE-097,synthetic_v1,38.79,46.89,122.37,26.13,5.58,446.42,66.44,41.5,1,6980.98,1,28.66276,77.32064,synthetic,Low
REAL-0097,"Firni Road, Najafgarh Firni Road",light,3.9,9.9,14.5,14.9,4.54,790.8,87.5,37.2,6,13694.3,1,28.62771,77.239,real_govt_record,Low
ZONE-110,ZONE-110,synthetic_v1,82.87,128.41,178.49,36.3,3.63,117.6,81.02,93.57,3,7263.84,1,28.66848,77.30119,synthetic,High
SYN2-0175,SYN2-0175,synthetic_v2,81.33,168.84,206.9,16.74,2.08,917.8,83.63,57.44,3,11616.97,1,28.63182,77.32131,synthetic,High
REAL-0145,Pusta Road,light,8.8,20.4,32.1,37.5,1.18,324.4,74.7,41.4,5,4772.9,1,28.63015,77.24132,real_govt_record,Low
ZONE-122,ZONE-122,synthetic_v1,66.14,145.67,225.55,40.09,5.55,893.63,84.87,65.83,1,19739.27,0,28.67573,77.20373,synthetic,Medium
SYN2-0037,SYN2-0037,synthetic_v2,57.12,143.0,199.04,44.38,0.91,442.53,80.55,17.1,1,4674.41,0,28.77572,77.22303,synthetic,Low
REAL-0377,Veer Banda Bairagi,light,3.3,6.9,9.9,33.0,4.21,417.1,79.7,49.9,2,21577.7,0,28.6275,77.2401,real_govt_record,Low
SYN2-0163,SYN2-0163,synthetic_v2,94.81,227.88,353.7,26.81,3.46,499.88,28.48,17.29,1,19207.05,0,28.7797,77.19375,synthetic,High
REAL-0443,Akbar Road,heavy,38.1,87.5,114.4,24.6,4.42,581.8,74.1,65.9,1,23616.9,0,28.62702,77.24504,real_govt_record,Medium
SYN2-0032,SYN2-0032,synthetic_v2,48.65,93.78,133.17,18.6,0.79,613.03,99.27,79.83,5,21877.05,0,28.69043,77.27739,synthetic,High
REAL-0993,Rajaji Marg,light,2.9,6.0,8.9,28.1,1.92,122.5,82.5,82.3,1,5121.7,0,28.62495,77.23438,real_govt_record,Low
REAL-0801,Swami Dayanand Marg,light,4.3,10.2,16.2,31.7,2.84,57.2,87.5,60.2,1,6754.1,0,28.63008,77.24125,real_govt_record,Low
ZONE-114,ZONE-114,synthetic_v1,75.47,127.35,209.6,40.12,6.9,772.73,39.34,44.97,1,15281.3,0,28.63065,77.19876,synthetic,Medium
REAL-0997,Saket Road,light,12.4,25.0,33.9,23.8,0.53,609.7,87.5,38.5,1,13855.1,0,28.62701,77.24125,real_govt_record,Low
REAL-0781,Sunheri Bagh- Rafi Marg,light,2.7,5.4,7.0,19.1,2.31,790.5,83.0,56.8,1,10064.1,1,28.62695,77.24308,real_govt_record,Low
REAL-0656,MP Road,extreme,59.3,121.1,183.1,39.7,4.23,66.6,74.1,75.8,1,9163.8,1,28.63093,77.24318,real_govt_record,Medium
SYN2-0197,SYN2-0197,synthetic_v2,5.15,12.09,17.18,39.68,0.72,218.74,32.7,17.54,4,11318.03,0,28.64347,77.18124,synthetic,Medium
REAL-0503,Old GTK Road,heavy,34.7,70.5,98.4,27.1,3.02,462.4,86.5,89.0,1,21801.5,0,28.62866,77.23897,real_govt_record,Low
REAL-0645,Mandi House R/A,light,4.5,9.1,14.0,16.9,2.9,191.0,82.5,50.1,1,17146.1,0,28.62751,77.23919,real_govt_record,Low
SYN2-0087,SYN2-0087,synthetic_v2,13.3,32.26,49.2,10.56,5.84,778.56,66.89,87.49,5,13599.08,1,28.72142,77.33679,synthetic,High
REAL-0767,"Sector 22, Dwarka",heavy,32.1,81.8,115.6,32.5,0.77,266.1,76.7,47.6,1,7693.0,1,28.63558,77.23813,real_govt_record,Medium
ZONE-133,ZONE-133,synthetic_v1,37.51,92.9,173.96,35.22,1.61,989.45,52.41,76.24,0,23153.04,0,28.73492,77.23311,synthetic,Low
REAL-0800,Surajmal Marg,extreme,52.1,123.6,185.2,20.4,1.49,660.2,76.7,83.8,1,20183.1,1,28.6287,77.24272,real_govt_record,High
REAL-1020,TT Park Road,extreme,47.4,108.8,145.7,41.1,4.44,97.0,87.5,52.2,1,6056.6,1,28.62331,77.24539,real_govt_record,Medium
REAL-0357,NH-48 Dhaula Kuan,light,8.0,20.4,31.3,26.3,2.38,527.0,74.1,72.0,2,14050.0,1,28.6323,77.23704,real_govt_record,Low
REAL-0029,Mathura Road,light,6.0,13.8,21.4,28.8,1.24,435.7,86.1,93.1,28,9386.8,1,28.59722,77.24808,real_govt_record,Low
REAL-0224,Mandi Road,extreme,38.8,92.4,135.6,24.3,0.6,267.7,87.5,62.7,3,5088.3,0,28.62601,77.24013,real_govt_record,Medium
REAL-0155,Rafi Marg,heavy,32.4,89.9,129.3,22.8,3.45,213.6,83.0,98.3,4,8398.0,1,28.63595,77.23597,real_govt_record,Medium
REAL-0293,Pusa Road- Vande Matram Marg,light,2.7,6.5,8.9,14.3,3.11,336.1,76.7,64.6,2,20939.7,0,28.62826,77.24533,real_govt_record,Low
REAL-0520,Vande Matram Marg,extreme,48.7,113.4,147.7,42.6,4.36,421.5,83.9,93.9,1,19790.2,0,28.62657,77.24179,real_govt_record,Medium
REAL-0960,Maharishi Dayanand Marg,extreme,48.1,136.8,193.6,41.8,2.81,572.2,90.9,68.5,1,16517.1,0,28.63381,77.23452,real_govt_record,High
REAL-1015,Tilak Marg,heavy,25.3,60.2,84.9,30.4,2.05,476.2,86.1,98.3,1,4822.0,1,28.62438,77.23651,real_govt_record,Low
ZONE-128,ZONE-128,synthetic_v1,62.12,70.88,103.73,48.63,2.39,810.44,22.74,37.58,0,4579.16,1,28.78679,77.29379,synthetic,Low
REAL-0785,Sunheri Masjid R/A,light,7.3,16.1,24.2,17.0,4.5,515.2,82.5,57.8,1,6235.6,0,28.62781,77.23451,real_govt_record,Low
REAL-0545,Najafgarh-Nangloi Road,light,4.1,8.7,13.1,28.2,2.5,654.2,74.1,65.3,1,23866.8,1,28.63108,77.24456,real_govt_record,Low
REAL-0887,Rind Road,heavy,26.8,62.8,93.7,11.0,2.24,527.5,76.7,87.4,1,6583.5,1,28.62892,77.23919,real_govt_record,Low
REAL-1006,Parade Road,moderate,13.7,30.1,44.4,22.6,3.72,152.8,83.0,61.2,1,4231.8,1,28.63725,77.23706,real_govt_record,Low
REAL-0168,Ulan Batar Marg,extreme,63.3,136.7,201.5,8.2,3.82,363.8,85.9,78.5,4,24657.5,0,28.62901,77.23619,real_govt_record,High
REAL-0644,Major Sudesh Marg,extreme,45.1,116.4,163.0,24.7,4.69,492.9,83.9,62.7,1,21459.4,0,28.62319,77.2457,real_govt_record,High
REAL-0601,Dr. Rajendra Prasad Road,light,10.7,22.9,33.9,25.2,0.68,404.9,80.7,39.8,1,21195.7,1,28.62681,77.2435,real_govt_record,Low
SYN2-0006,SYN2-0006,synthetic_v2,94.82,183.36,291.54,8.08,3.62,72.19,84.77,71.85,1,20514.17,0,28.68465,77.34764,synthetic,Medium
SYN2-0138,SYN2-0138,synthetic_v2,41.34,75.61,101.4,40.99,7.02,426.74,32.72,67.02,0,8243.34,0,28.73187,77.29621,synthetic,Low
REAL-0200,Vir Banda Bairagi Marg,extreme,60.4,134.6,193.9,28.8,4.64,623.9,80.7,94.8,4,10583.9,1,28.62319,77.24531,real_govt_record,High
REAL-0246,Mother Teresa Crescent Marg,moderate,9.2,26.1,40.8,22.1,0.89,85.0,87.5,89.2,3,16633.2,0,28.63421,77.23371,real_govt_record,Low
REAL-0928,Dwarka – Dabri Drain,extreme,46.0,94.7,129.5,36.4,3.57,674.5,82.5,73.6,1,13551.3,0,28.63228,77.23971,real_govt_record,Medium
REAL-0402,Rajpath Suoth Rajpath,moderate,25.3,51.3,68.9,43.7,3.31,54.3,85.9,59.5,1,11581.9,1,28.63517,77.23915,real_govt_record,Low
REAL-0144,Minto Road,extreme,54.5,130.4,190.5,40.0,1.38,259.7,80.7,76.2,5,5544.5,1,28.63509,77.23996,real_govt_record,High
REAL-0301,Thimayya Marg,light,3.9,9.4,14.2,41.8,3.55,65.5,90.9,90.5,2,16787.3,1,28.63487,77.24248,real_govt_record,Low
REAL-0715,"Pocket-16, Sector-22, Rohini",heavy,32.4,73.1,111.0,9.0,3.36,491.0,87.5,39.8,1,11906.2,0,28.63358,77.24076,real_govt_record,Medium
REAL-0226,Dwarka Near Sector,moderate,23.3,52.3,68.4,15.1,0.59,93.2,80.7,72.3,3,17976.6,1,28.63406,77.24155,real_govt_record,Low
REAL-0549,MG Road,light,2.2,6.1,8.8,31.5,0.86,107.6,80.7,91.2,1,5485.8,1,28.62929,77.24267,real_govt_record,Low
REAL-0302,Thimayya Marg,moderate,12.7,35.2,52.8,10.0,3.56,733.3,90.9,77.7,2,16730.5,0,28.63695,77.24523,real_govt_record,Low
REAL-0272,Azad Market Road,extreme,51.9,130.1,176.6,12.4,0.85,644.1,82.5,73.6,2,4317.6,1,28.62603,77.23743,real_govt_record,High
SYN2-0190,SYN2-0190,synthetic_v2,13.21,29.14,40.27,13.95,7.55,847.37,50.36,62.08,1,24202.19,1,28.5603,77.16607,synthetic,Low
REAL-0563,Abai Marg-San Martin Marg,heavy,34.2,89.3,122.5,43.9,3.11,647.5,72.4,98.9,1,17852.1,0,28.63068,77.23816,real_govt_record,Medium
REAL-0978,Nishad Marg,moderate,16.2,39.6,54.9,43.1,4.96,660.7,85.9,93.7,1,17906.3,0,28.62793,77.24507,real_govt_record,Low
SYN2-0183,SYN2-0183,synthetic_v2,98.72,232.83,362.1,55.39,5.45,174.31,64.5,17.65,2,2144.13,1,28.74305,77.20961,synthetic,High
REAL-0533,NH-8 Rangpuri Chowk,light,3.3,9.1,13.7,21.3,3.64,173.6,76.7,75.9,1,9726.0,1,28.62982,77.24096,real_govt_record,Low
SYN2-0125,SYN2-0125,synthetic_v2,24.61,55.36,82.27,14.27,1.11,980.21,91.09,16.54,4,16109.46,0,28.7021,77.2523,synthetic,High
REAL-0249,Maulana Azad Road,light,8.6,23.5,35.2,17.8,1.84,233.3,83.0,98.8,2,6084.1,0,28.63242,77.23879,real_govt_record,Low
REAL-0931,Firoz Shah Road,heavy,25.9,65.9,98.2,33.5,3.69,509.4,74.7,66.8,1,21830.4,0,28.63421,77.24742,real_govt_record,Low
REAL-0955,Maa Anandmayee Marg,heavy,35.2,87.2,121.9,13.5,4.17,617.4,72.4,54.7,1,7588.2,1,28.62742,77.24315,real_govt_record,Medium
REAL-0501,Old GTK Road,light,8.9,19.0,25.4,32.8,1.23,500.1,86.5,90.3,1,11618.7,0,28.62796,77.24245,real_govt_record,Low
REAL-0998,Saket Road,moderate,25.6,51.8,74.2,23.0,1.13,148.5,87.5,44.3,1,20380.0,0,28.62679,77.24654,real_govt_record,Low
REAL-0214,Mathura R oad,moderate,13.9,38.0,54.8,43.3,4.5,92.1,94.2,39.5,3,9657.9,1,28.62733,77.23884,real_govt_record,Low
SYN2-0016,SYN2-0016,synthetic_v2,63.03,131.67,209.94,39.36,5.72,624.76,23.28,20.82,5,6199.85,0,28.58402,77.28659,synthetic,High
REAL-0660,Najafgarh-kapashera Road,extreme,65.3,131.5,210.3,37.8,2.83,150.1,94.2,65.8,1,19811.1,1,28.62764,77.23933,real_govt_record,High
REAL-0991,Police Colony,heavy,37.7,85.7,134.4,9.6,3.17,769.5,86.1,48.1,1,20114.0,1,28.62493,77.24549,real_govt_record,Medium
ZONE-008,ZONE-008,synthetic_v1,76.26,109.06,120.79,29.47,1.61,780.78,43.26,97.21,1,5023.82,1,28.65808,77.28689,synthetic,Medium
REAL-0102,Girdhari Lal Goswami Marg,moderate,22.0,47.2,72.2,26.4,3.43,432.9,72.4,59.2,6,9210.9,1,28.63337,77.24556,real_govt_record,Low
ZONE-019,ZONE-019,synthetic_v1,79.04,126.8,223.94,57.6,2.76,106.19,42.25,61.89,2,2350.57,0,28.76254,77.23321,synthetic,Medium
REAL-0023,MB Road,heavy,25.2,56.6,81.2,31.3,3.45,655.5,79.7,96.3,38,18374.3,0,28.51165,77.2628,real_govt_record,Medium
SYN2-0048,SYN2-0048,synthetic_v2,50.17,123.27,176.06,18.3,5.06,679.46,46.56,93.67,4,14619.64,0,28.67181,77.16753,synthetic,High
REAL-0468,Khyala Road,extreme,46.8,95.9,128.8,12.6,0.98,534.9,82.5,95.2,1,12036.8,1,28.63036,77.23795,real_govt_record,Medium
REAL-0237,Satya Marg,light,7.3,16.8,22.1,34.3,0.81,608.4,79.7,50.5,3,14487.8,1,28.63342,77.24135,real_govt_record,Low
SYN2-0105,SYN2-0105,synthetic_v2,26.33,66.75,83.4,23.99,6.27,754.36,43.57,80.9,5,12997.67,1,28.76528,77.30916,synthetic,High
REAL-0510,"Raghubir Nagar, Nala Road",moderate,26.8,54.3,83.8,33.3,4.1,195.6,76.7,47.6,1,21699.1,1,28.63309,77.23907,real_govt_record,Low
REAL-0172,Boulevard Road,extreme,43.0,98.3,133.8,20.8,1.24,312.3,82.5,72.8,4,14919.4,1,28.63157,77.23693,real_govt_record,Medium
REAL-0681,NH-48 Near Loop,light,8.6,17.6,24.1,26.5,2.04,682.4,82.5,49.5,1,20405.5,1,28.63281,77.24302,real_govt_record,Low
REAL-0364,Old Delhi Gurugram Road,extreme,40.7,93.4,147.8,27.3,3.87,97.9,76.7,90.5,2,11730.5,1,28.62646,77.24324,real_govt_record,Medium
REAL-0697,Old GT Road/ Ansari Road,light,4.1,9.7,14.9,16.3,1.17,162.2,79.7,82.6,1,16353.3,1,28.62816,77.23639,real_govt_record,Low
SYN2-0062,SYN2-0062,synthetic_v2,61.31,125.2,155.95,36.37,4.07,861.9,59.72,83.1,3,13270.24,0,28.76695,77.28328,synthetic,High
SYN2-0073,SYN2-0073,synthetic_v2,21.4,39.65,49.64,9.06,2.76,459.21,92.37,68.67,0,9603.6,1,28.68279,77.21812,synthetic,Low
SYN2-0129,SYN2-0129,synthetic_v2,90.9,215.14,322.97,53.28,6.3,266.44,33.94,41.84,2,18647.69,1,28.56744,77.27964,synthetic,High
REAL-0598,Dallu Pura Road,moderate,19.8,51.7,73.1,8.9,3.74,365.5,72.4,95.0,1,15353.2,1,28.6361,77.24349,real_govt_record,Low
ZONE-102,ZONE-102,synthetic_v1,40.45,96.43,110.26,36.64,6.13,203.67,46.98,51.26,5,13090.05,0,28.77757,77.25956,synthetic,High
REAL-1032,Dada Maheshwar Road,extreme,64.8,133.3,213.0,27.3,4.0,409.1,74.1,80.5,1,16166.1,1,28.63288,77.23454,real_govt_record,High
ZONE-137,ZONE-137,synthetic_v1,22.6,47.98,69.76,42.97,4.2,662.09,38.98,24.98,1,17865.82,1,28.76553,77.22118,synthetic,Low
REAL-0803,Swami Dayanand Marg,heavy,28.6,77.4,117.0,18.7,1.26,393.5,87.5,37.2,1,22355.6,0,28.62604,77.2421,real_govt_record,Medium
REAL-0628,KN Katju Marg,extreme,38.3,104.8,152.1,35.7,2.16,788.1,80.7,74.8,1,11611.8,1,28.63246,77.2361,real_govt_record,Medium
REAL-0339,Kanhiya Nagar Kanhiya,heavy,33.0,79.6,126.6,25.8,1.25,433.5,94.2,57.9,2,7474.7,0,28.62799,77.24518,real_govt_record,Medium
REAL-0300,Rao Tula Ram Marg,extreme,61.9,135.0,208.0,25.1,1.42,388.4,76.7,78.6,2,15511.6,0,28.62803,77.24063,real_govt_record,High
REAL-0049,Vikas Marg,light,5.7,13.6,21.7,17.0,2.86,753.0,86.1,81.3,17,13835.4,0,28.65306,77.28043,real_govt_record,Low
REAL-0895,Shalimar Bagh,heavy,40.1,83.9,121.5,32.4,1.48,268.3,80.7,60.5,1,20030.3,0,28.62642,77.24056,real_govt_record,Medium
REAL-0260,Burari Road,extreme,43.5,111.0,176.3,33.4,4.68,561.6,94.2,89.7,2,5694.8,0,28.62704,77.23541,real_govt_record,Medium
REAL-0148,Pusta Road,extreme,46.7,100.5,135.8,29.5,0.69,258.7,74.7,51.5,5,11224.2,1,28.62626,77.24005,real_govt_record,Medium
REAL-0135,Veer Banda Bairagi Marg,heavy,34.7,84.4,132.5,31.1,0.54,155.6,94.2,55.7,5,19210.8,1,28.62733,77.24276,real_govt_record,Medium
REAL-0467,Khyala Road,heavy,26.3,68.6,96.5,14.6,3.8,682.8,82.5,48.0,1,4275.8,1,28.62519,77.23901,real_govt_record,Low
SYN2-0044,SYN2-0044,synthetic_v2,87.54,166.03,248.12,19.93,2.5,825.12,37.42,10.64,5,8764.03,0,28.65367,77.34277,synthetic,High
ZONE-135,ZONE-135,synthetic_v1,83.42,143.29,202.73,25.44,6.53,946.01,72.42,21.45,1,8236.83,1,28.74531,77.22527,synthetic,Medium
REAL-0505,Old Palam Road,light,4.4,11.7,15.4,33.1,2.18,376.0,79.7,75.4,1,11135.5,0,28.62681,77.24014,real_govt_record,Low
REAL-0777,SPM Marg,light,4.8,10.6,15.0,29.3,1.85,393.5,74.7,89.8,1,20938.9,0,28.63219,77.24252,real_govt_record,Low
REAL-0194,Subramaniam Bharti Marg,moderate,25.0,54.5,81.9,12.6,1.95,486.8,87.5,52.5,4,14961.5,1,28.63372,77.24462,real_govt_record,Low
REAL-0851,Chelmsford Road,heavy,27.7,59.1,84.6,12.3,1.63,773.1,74.1,85.3,1,20523.7,0,28.63729,77.23933,real_govt_record,Low
REAL-0031,Mathura Road,heavy,38.0,88.9,126.3,37.6,3.03,418.3,86.1,79.2,28,5383.9,1,28.59397,77.2486,real_govt_record,High
